Building,Floor,Tenant,Occupancy (%),Status,Rent (₹/sqft),Effective Rent,Starting Rent,Lease Expiry Rent,Area (sqft),Carpet Area,Lease Start,Lease End,Lease Expiry Date,Lock-in Period,Lock-in End,Security Deposit (months),Rent Escalation (%),Escalation Period (months),Property Condition,Sector,Deal Type,Landlord,Landlord Contact,Agreement Type,Deal Memo,Monthly Revenue,Annual Revenue,Data Source,Vacancy Reason,Data Conflict,Rent Estimated,Building Grade,Building CAM,Building Escalation,Building Power,Building Parking,Building Efficiency,Building Developer,Building Category,Micro Market
Tower B,6,Sharp Business Systems + 4 more,100,Multi-tenant,95.0,110.0,95.0,125.6,25777,18815,2025-03,2034-02,2034-02,-,2028-02,6.0,15.0,36,Fitted Out,Consumer Durables & Apparel,,Multiple (2 owners),MPD Realtors & Infrastructures,Lease Deed,Lessee Will Have Option to Terminate this Agreement at any time by after Lock in Period of 3 Years by giving 3 Months Written Notice to Lessor.,2448815,29385780,CRE,,Sales team CSV marked Vacant — CREMatrix shows active Sharp Business Systems lease expiring 2034-02. Data corrected from CREMatrix. | Sales team CSV marked Vacant — CREMatrix shows active Sharp Business Systems lease expiring 2034-02. Data corrected from CREMatrix.,,Grade A,19.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
Tower B,7,Indiqube,100.0,Furnished,65.0,68.7,65.0,79.0,25777,18817,,,2028-08,27 months,2025-11,,5.0,15,Warm Shell,Co-Working,New,Multiple (2 owners),Indiqube Spaces,Lease Deed,Cam Charges Are Not Given.,1675505,20106060,CRE,,,,Grade A,19.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
Tower B,8,Madison World + 4 more,100,Multi-tenant,90.0,95.4,90.0,103.5,25777,18820,2025-02,2030-02,2030-02,-,2028-02,6.0,15.0,36,Fitted Out,Media,,Multiple (7 owners),Vijender Kumar Jain,Lease Deed,Other Deposit Mention Is Cam Deposit.,2319930,27839160,CRE,,Sales team CSV marked Vacant — CREMatrix shows active Madison World lease expiring 2030-02. Data corrected from CREMatrix. | Sales team CSV marked Vacant — CREMatrix shows active Madison World lease expiring 2030-02. Data corrected from CREMatrix. | Sales team CSV marked Vacant — CREMatrix shows active Madison World lease expiring 2030-02. Data corrected from CREMatrix.,,Grade A,19.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
Tower B,9,Awfis Coworking,100.0,Furnished,75.0,52.5,50.0,62.0,25777,18815,,,2027-01,36 months,2025-01,,4.0,12,Fitted Out,Co-Working,New,Multiple (7 owners),Karanbir Singh Dhillon (385M),Lease Deed,Cam charges not given.,1933275,23199300,CRE,,,,Grade A,19.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
Tower B,10,Vacant,0,Vacant,87.1,,,,25777,18044,2022-01,2024-12,2024-12,36 months,,6.0,,,Fitted Out,,,,,,,0,0,Sales Team,Lease expired 2024-12 (Sales Team CSV),,true,Grade A,19.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
Tower B,11,Office pass,100.0,Furnished,57.7,102.2,90.0,119.0,25777,18820,2022-01,2024-12,2029-01,36 months,2025-01,6.0,15.0,36,Fitted Out,Co-Working,,Multiple (5 owners),Tej Mohan Sachdeva (316A),Lease Deed,Cam Charges Not Given.,1487333,17847995,CRE,,,,Grade A,19.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
Tower B,12,Vacant,0,Vacant,87.1,,,,25777,18817,2014-01,2017-01,2025-02,-,2025-02,6.0,15.0,38,Fitted Out,,,Multiple (4 owners),Pawan Kumar Dhawan (083G),Lease Deed,Cam charges not given.,0,0,CRE,,,true,Grade A,19.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
Tower B,14,G4S IT Services India + 4 more,100,Multi-tenant,82.0,84.5,82.0,91.8,25777,18815,2023-02,2029-02,2029-02,-,2026-02,6.0,12.0,36,Fitted Out,Commercial & Professional Services,New,Multiple (6 owners),Supreet Kaur (820E),Lease Deed,Cam Charges Not Given.,2113714,25364568,CRE,,Sales team CSV marked Vacant — CREMatrix shows active G4S IT Services India lease expiring 2029-02. Data corrected from CREMatrix. | Sales team CSV marked Vacant — CREMatrix shows active G4S IT Services India lease expiring 2029-02. Data corrected from CREMatrix.,,Grade A,19.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
Tower B,15,OSM Thome India + 5 more,100,Multi-tenant,78.7,77.7,78.7,78.7,25777,18044,2025-03,2028-03,2028-03,-,,6.0,15.0,36,Fitted Out,,Renewal,Multiple (4 owners),Anil Palta (109K),Lease Deed,Licensee shall terminate at any time during the lease period by giving 3 month prior notice to the lessor. \n Cam Charges is not given.,2028650,24343799,CRE,,Sales team CSV marked Vacant — CREMatrix shows active OSM Thome India lease expiring 2028-03. Data corrected from CREMatrix. | Sales team CSV marked Vacant — CREMatrix shows active OSM Thome India lease expiring 2028-03. Data corrected from CREMatrix.,,Grade A,19.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
Tower B,16,finthrive India pvt Ltd + 1 more,100.0,Multi-tenant,105.0,121.5,105.0,138.9,25777,19333,,,2033-08,36 months,2027-08,,15.0,36,Fitted Out,,,Multiple (9 owners),Meenu Jain (781B),Lease Deed,Cam Deposit Is Mentioned In Other Deposit.,2706585,32479020,CRE,,,,Grade A,19.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
Tower C,1,Agile Ventures Pvt Ltd + 3 more,83.1,Multi-tenant,93.0,91.2,93.0,104.2,27286,21283,,,2029-01,36 months,2027-01,,12.0,36,Fitted Out,Health Care,New,Multiple (4 owners),Aarti Sethi (579D),Lease Deed,Cam deposit mentioned in other deposit.,2537598,30451176,CRE,,,,Grade A,19.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
Tower C,2,Evident Scientific Private Limited + 3 more,100,Multi-tenant,90.0,93.5,90.0,99.2,27286,21283,,,2028-03,12 months,2026-03,,5.0,12,Fitted Out,Others,Renewal,Multiple (7 owners),Pawan Kumar Dhawan (083G),Lease Deed,Initial term is of 1 years & auto renewal of further 2 yrs.\n Cam Security Deposit Mentioned In Other Deposit.,2455740,29468880,CRE,,,,Grade A,19.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
Tower C,3,Vacant,0,Vacant,89.5,,,,27286,21283,,,2020-11,36 months,2018-11,,15.0,36,Warm Shell,,,Girish Mohan Gupta (049D),Girish Mohan Gupta,Lease Deed,The initial term is of 60 months,0,0,CRE,Lease expired 2020-11 (CRE Matrix),,true,Grade A,19.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
Tower C,4,Mindlance India + 3 more,100,Multi-tenant,85.0,104.7,85.0,123.6,27286,21283,2025-06,2034-05,2034-05,-,2025-09,6.0,10.0,4,Fitted Out,,,Multiple (9 owners),Gagan Wahi (597L),Lease Deed,,2319310,27831720,CRE,,Sales team CSV marked Vacant — CREMatrix shows active Mindlance India lease expiring 2034-05. Data corrected from CREMatrix. | Sales team CSV marked Vacant — CREMatrix shows active Mindlance India lease expiring 2034-05. Data corrected from CREMatrix.,,Grade A,19.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
Tower C,5,Office pass,100.0,Furnished,57.7,89.7,72.0,113.3,27286,21283,2022-01,2024-12,2034-03,36 months,2024-03,6.0,12.0,36,Bare Shell,Commercial & Professional Services,,Multiple (2 owners),Alka Bajaj and Others,Lease Deed,Cam charges not given.,1574402,18892826,CRE,,,,Grade A,19.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
Tower C,6,Tata AIG + 1 more,100,Multi-tenant,88.0,85.6,88.0,103.5,27286,20484,2023-02,2032-02,2032-02,-,2028-02,6.0,2.0,36,Fitted Out,BFSI,New,Multiple (7 owners),Ratnakar Sales Promotion,Lease Deed,Cam charges not mentioned,2401168,28814016,CRE,,Sales team CSV marked Vacant — CREMatrix shows active Tata AIG lease expiring 2032-02. Data corrected from CREMatrix.,,Grade A,19.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
Tower C,7,Zyod Commerce + 1 more,100,Multi-tenant,82.0,90.6,82.0,99.7,27286,21283,2023-06,2028-05,2028-05,-,2026-05,6.0,5.0,12,Fitted Out,Consumer Durables & Apparel,,Multiple (5 owners),Anurag Pal (848D),Lease Deed,Both Parties May Terminate This Agreement Any Time After Lock In Period by Giving 3 Months Notice To Other Party.\n Cam Charges Not Given.,2237452,26849424,CRE,,Sales team CSV marked Vacant — CREMatrix shows active Zyod Commerce lease expiring 2028-05. Data corrected from CREMatrix.,,Grade A,19.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
Tower C,8,Fujifilm,100,Fully Occupied,74.8,78.9,74.8,74.8,27286,21829,2023-10,2026-10,2026-10,-,,6.0,,,Fitted Out,Consumer Durables & Apparel,Renewal,Multiple (9 owners),Adar Kumar Jain (280G),Lease Deed,Licensee shall terminate at any time during the lease period by giving 3 month prior notice to the lessor. \n Cam Charges is not given.,2040993,24491914,CRE,,Sales team CSV marked Vacant — CREMatrix shows active Fujifilm lease expiring 2026-10. Data corrected from CREMatrix.,,Grade A,19.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
Tower C,9,TracX Logis India Pvt. Ltd. + 2 more,100.0,Multi-tenant,57.7,90.9,80.0,105.8,27286,21286,2022-01,2024-12,2033-04,36 months,2027-04,6.0,15.0,36,Fitted Out,Industrials,New,Multiple (9 owners),Kiran Rana,Lease Deed,,1574402,18892826,CRE,,,,Grade A,19.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
Tower C,10,SalaryBox is the brand name for Cresce Technology Private Limited + 6 more,100,Multi-tenant,57.7,97.4,94.0,105.3,27286,21286,2022-01,2024-12,2029-05,36 months,2027-05,6.0,12.0,36,Fitted Out,,New,Multiple (5 owners),Positive Realtech,Sub Lease Deed,Cam Deposit Is Mentioned In Other Deposit.,1574402,18892826,CRE,,,,Grade A,19.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
Tower C,11,IndusInd Bank + 4 more,100,Multi-tenant,75.0,85.7,75.0,99.2,27286,19100,2023-03,2032-01,2032-01,-,2026-01,6.0,15.0,35,Fitted Out,BFSI,Re-Registered,Multiple (4 owners),Dinesh Bhatia (398K),Lease Deed,Other Deposit Mention Is Cam Deposit.\n This is the Re-Registered document. Other details refer from this Wazirabad-20889-202223 document.,2046450,24557400,CRE,,Sales team CSV marked Vacant — CREMatrix shows active IndusInd Bank lease expiring 2032-01. Data corrected from CREMatrix.,,Grade A,19.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
Tower C,12,TRPC Services Team Pvt Ltd + 2 more,100.0,Multi-tenant,57.7,71.4,72.0,80.6,27286,21283,2022-01,2024-12,2027-11,36 months,2027-02,6.0,12.0,36,Fitted Out,Commercial & Professional Services,New,Multiple (5 owners),MPD Realtors & Infrastructures,Lease Deed,Additional Car Parking Charges @3500/- per car parks per Months.\n Cam Security Deposit Mentioned In Other Deposit.,1574402,18892826,CRE,,,,Grade A,19.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
Tower C,14,AdvantageClub.ai + 3 more,100.0,Multi-tenant,95.0,95.0,95.0,95.0,27286,21283,,,2026-07,36 months,2026-07,,15.0,36,Fitted Out,IT/ITeS,New,Multiple (5 owners),Guneeta Sawhney (967J),Lease Deed,Cam Deposit Is Mentioned In Other Deposit.,2592170,31106040,CRE,,,,Grade A,19.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
Tower C,15,Vacant,0,Vacant,89.5,,,,27286,21829,,,2022-07,36 months,2020-07,,13.0,36,Fitted Out,,,Multiple (5 owners),Anky Jain,Lease Deed,Cam charges not mention.,0,0,CRE,Lease expired 2022-07 (CRE Matrix),,true,Grade A,19.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
Tower C,16,Subhlakshmi Finance Pvt. Ltd + 1 more,100,Multi-tenant,,,,,27286,21829,2014-01,2017-01,2026-03,-,2024-03,6.0,15.0,36,Fitted Out,,,Multiple (8 owners),Sejal Sethi (415G),Lease Deed,Car parking deposit mentioned in other deposit and shall escalated by 15% after 3 years.\n Cam charges not given.,0,0,CRE,,,,Grade A,19.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
Tower D,0,keysight technologies,100.0,Furnished,,,,,27000,18900,,,,,,,,,Fitted Out,,,,,,,0,0,Sales Team,,,,Grade A,19.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,Unitech,IT Park,Gurgaon Sector 39
Tower D,1,keysight technologies,100.0,Furnished,,,,,27000,18900,,,,,,,,,Fitted Out,,,,,,,0,0,Sales Team,,,,Grade A,19.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,Unitech,IT Park,Gurgaon Sector 39
Tower D,2,keysight technologies,100.0,Furnished,,,,,27000,18900,,,,,,,,,Fitted Out,,,,,,,0,0,Sales Team,,,,Grade A,19.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,Unitech,IT Park,Gurgaon Sector 39
Tower D,3,keysight technologies,100.0,Furnished,,,,,27000,18900,,,,,,,,,Fitted Out,,,,,,,0,0,Sales Team,,,,Grade A,19.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,Unitech,IT Park,Gurgaon Sector 39
Tower D,4,keysight technologies,100.0,Furnished,,,,,27000,18900,,,,,,,,,Fitted Out,,,,,,,0,0,Sales Team,,,,Grade A,19.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,Unitech,IT Park,Gurgaon Sector 39
Tower D,5,keysight technologies,100.0,Furnished,,,,,27000,18900,,,,,,,,,Fitted Out,,,,,,,0,0,Sales Team,,,,Grade A,19.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,Unitech,IT Park,Gurgaon Sector 39
Tower D,6,Hakuhodo.Sync Pvt. Ltd + 5 more,100.0,Multi-tenant,80.0,83.9,80.0,92.0,27000,21603,,,2029-06,36 months,2027-06,,15.0,36,Fitted Out,Energy & Utilities,New,Multiple (2 owners),Ushi Dhawan (512N),Lease Deed,,2160000,25920000,CRE,,,,Grade A,19.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,Unitech,IT Park,Gurgaon Sector 39
Tower D,7,Electro Rent India Pvt. Ltd,100.0,Furnished,85.0,98.4,85.0,112.4,27000,21597,,,2033-10,36 months,2027-10,,15.0,36,Fitted Out,Commercial & Professional Services,New,Multiple (2 owners),Sonea Dhir (327E),Lease Deed,Cam Deposit Is Mentioned In Other Deposit.,2295000,27540000,CRE,,,,Grade A,19.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,Unitech,IT Park,Gurgaon Sector 39
Tower D,8,Vacant,0,Vacant,90.5,,,,27000,21600,,,2028-05,42 months,2026-11,,15.0,36,Fitted Out,,,H & H Real Estate,Mahesh Kumar Kabra,Lease Deed,Cam charges not given,0,0,CRE,,,true,Grade A,19.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,Unitech,IT Park,Gurgaon Sector 39
Tower D,9,Innov8 Coworking,100.0,Furnished,90.0,89.1,80.0,105.8,27000,21600,2024-04,2033-04,2033-04,60 months,2029-04,4.0,15.0,36,Fitted Out,Co-Working,New,Multiple (2 owners),Ushi Dhawan (512N),Lease Deed,Cam Deposit Is Mentioned In Other Deposit.,2430000,29160000,CRE,,,,Grade A,19.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,Unitech,IT Park,Gurgaon Sector 39
