Building,Floor,Tenant,Occupancy (%),Status,Rent (₹/sqft),Effective Rent,Starting Rent,Lease Expiry Rent,Area (sqft),Carpet Area,Lease Start,Lease End,Lease Expiry Date,Lock-in Period,Lock-in End,Security Deposit (months),Rent Escalation (%),Escalation Period (months),Property Condition,Sector,Deal Type,Landlord,Landlord Contact,Agreement Type,Deal Memo,Monthly Revenue,Annual Revenue,Data Source,Vacancy Reason,Data Conflict,Rent Estimated,Building Grade,Building CAM,Building Escalation,Building Power,Building Parking,Building Efficiency,Building Developer,Building Category,Micro Market
Building 2,2,Johnson Controls + 1 more,100,Multi-tenant,65.0,67.4,65.0,74.8,26900,18561,2024-02,2028-02,2028-02,-,2025-08,6.0,,24,Bare Shell,Industrials,Renewal,Multiple (2 owners),SH Tech Park Developers,Lease Deed,Considering Registration Date As Execution Date.\n The Licensee Shall Be Provided With A Rent Free Period Of 1 Months i. e. 15 Days jn the 24th Month i.e.,1748500,20982000,CRE,,Sales team CSV marked Vacant — CREMatrix shows active Johnson Controls lease expiring 2028-02. Data corrected from CREMatrix.,,Grade A+,18.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
Building 2,3,Vacant,0,Vacant,68.1,,,,26900,18561,2022-01,2024-12,2023-12,36 months,2017-12,6.0,15.0,36,Fitted Out,,,SH Tech Park Developers,Ritu Gupta,Lease Deed,The Lessee Shall Pay Rs.23 Per Sq Ft Cam Charges For 24 Hours.,0,0,CRE,Lease expired 2023-12 (CRE Matrix),,true,Grade A+,18.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
Building 2,4,Vacant,0,Vacant,68.1,,,,26900,18561,2022-01,2024-12,2024-01,36 months,2018-01,6.0,15.0,36,Warm Shell,,,Vatika Limited,Ritu Gupta,Lease Deed,Lessee Is Paying Rs.23/- Per Sq Ft Per Month Cam Charges For 24 Hours.,0,0,CRE,Lease expired 2024-01 (CRE Matrix),,true,Grade A+,18.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
Building 2,5,ROADIS + 1 more,100.0,Multi-tenant,,,,,26900,18561,2022-01,2024-12,2022-02,36 months,2022-02,6.0,10.0,36,Fitted Out,,,SH Tech Park Developers,Gautam Bhalla,Lease Deed,Cam Charges Not Given.,0,0,CRE,Lease expired 2022-02 (CRE Matrix),,,Grade A+,18.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
Building 2,6,Pepperl +Fuchs + 1 more,100.0,Multi-tenant,,,,,26900,18561,2022-01,2024-12,2014-04,36 months,2014-04,6.0,15.0,36,Fitted Out,,,SH Tech Park Developers,-,Lease Deed,However,0,0,CRE,Lease expired 2014-04 (CRE Matrix),,,Grade A+,18.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
Building 2,7,Rentickle - Furniture & Appliances Rental,100,Partially Vacant,,,,,26900,18561,2014-01,2017-01,2022-08,-,,6.0,,,Bare Shell,,,Multiple (2 owners),SH Tech Park Developers,Lease Deed,The Licensee Towards property tax Shall Be Limited To 7.5% Of The Annual Base Rental.Any Excess Tax Liability Over It Shall Be Born By The Licencor.\n No Lock In - At Any Time Licensee Can Terminate The Agreement By Giving 3 Months Written Notice To The Licensor.\n CAM Charges Not Given.,0,0,CRE,,,,Grade A+,18.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
Building 2,8,Hexa Climate Solutions private Limited + 1 more,100.0,Multi-tenant,59.0,64.8,59.0,78.0,26900,18561,,,2033-09,33 months,2027-06,,15.0,36,Fitted Out,Energy & Utilities,New,SH Tech Park Developers,Ritu Gupta,Lease Deed,Additional Rent Free Period:\n 1-7-2026 to 31-7-2026\n 1-7-2027 to 31-7-2027\n CAM Charges Not Given.,1587100,19045200,CRE,,,,Grade A+,18.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
Building 2,9,Undisclosed Tenant + 1 more,100.0,Multi-tenant,,,,,26900,18830,2014-01,2017-01,2017-01,-,,6.0,,,Fitted Out,,,,,,,0,0,Sales Team,Lease expired 2017-01 (Sales Team CSV),,,Grade A+,18.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
Building 2,10,Vacant,0,Vacant,68.1,,,,26900,18830,2014-01,2017-01,2017-01,-,,6.0,,,Fitted Out,,,,,,,0,0,Sales Team,Lease expired 2017-01 (Sales Team CSV),,true,Grade A+,18.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
Building 2,11,Cubastion Consulting private Limited,100.0,Furnished,59.0,50.7,59.0,66.1,26900,18561,,,2030-01,60 months,2030-01,,,11,Bare Shell,Commercial & Professional Services,New,SH Tech Park Developers,Ritu Gupta,Lease Deed,CAM Charges Not Given\n Moratorium Period - 10,1587100,19045200,CRE,,,,Grade A+,18.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
Building 2,12,Ofis Square + 1 more,100.0,Multi-tenant,,,,,26900,18561,2022-01,2024-12,2024-11,60 months,,6.0,15.0,36,Fitted Out,,,SH Tech Park Developers,Ritu Kumar,Lease Deed,The Licensee Towards property tax Shall Be Limited To 7.5% Of The Annual Base Rental.Any Excess Tax Liability Over It Shall Be Born By The Licencor.\n No Lock In - At Any Time Licensee Can Terminate The Agreement By Giving 3 Months Written Notice To The Licensor.\n CAM Charges Not Given.,0,0,CRE,Lease expired 2024-11 (CRE Matrix),,,Grade A+,18.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
Building 2,13,Vacant,0,Vacant,68.1,,,,26900,18561,2014-01,2017-01,2018-07,-,2018-07,6.0,,,Fitted Out,,,SH Tech Park Developers,Gautam Bhalla,Lease Deed,The Annual liability of the lessee towards Property Tax shall be limited to 5% of its annual rental and any excess tax liability over it shall be borne by the Lessor,0,0,CRE,,,true,Grade A+,18.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
Building 2,14,Caxsol Tech  Private Limited,100.0,Furnished,83.7,84.4,83.7,83.7,26900,18561,,,2027-10,30 months,2027-03,,15.0,36,Fitted Out,Automobiles,,Multiple (3 owners),Firstcity Realty And Infrastructure,Lease Deed,CAM Charges Not Given\n Lease Commencement Date Not Given So Execution Date Considered As Lease Commencement Date\n Lessee can terminate the Agreement by after Lock in period 29 Months 16 Days by giving 3 Months Notice.,2251530,27018360,CRE,,,,Grade A+,18.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,,,
Building 3,0,McKinsey & Company,100.0,Furnished,,,,,26000,18200,,,,,,,,,Fitted Out,,,,,,,0,0,Sales Team,,,,Grade A+,18.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,Vatika Group,IT Park,Gurgaon Sector 49
Building 3,1,McKinsey & Company,100.0,Furnished,,,,,26000,18200,,,,,,,,,Fitted Out,,,,,,,0,0,Sales Team,,,,Grade A+,18.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,Vatika Group,IT Park,Gurgaon Sector 49
Building 3,2,McKinsey & Company,100.0,Furnished,,,,,26000,18200,,,,,,,,,Fitted Out,,,,,,,0,0,Sales Team,,,,Grade A+,18.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,Vatika Group,IT Park,Gurgaon Sector 49
Building 3,3,McKinsey & Company,100.0,Furnished,,,,,26000,18200,,,,,,,,,Fitted Out,,,,,,,0,0,Sales Team,,,,Grade A+,18.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,Vatika Group,IT Park,Gurgaon Sector 49
Building 3,4,McKinsey & Company,100.0,Furnished,,,,,26000,18200,,,,,,,,,Fitted Out,,,,,,,0,0,Sales Team,,,,Grade A+,18.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,Vatika Group,IT Park,Gurgaon Sector 49
Building 3,5,McKinsey & Company,100.0,Furnished,,,,,26000,18200,,,,,,,,,Fitted Out,,,,,,,0,0,Sales Team,,,,Grade A+,18.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,Vatika Group,IT Park,Gurgaon Sector 49
Building 3,6,Vacant,0,Vacant,65.7,,,,26000,17940,,,2015-01,12 months,2013-01,,15.0,36,Fitted Out,,,Vatika Limited,Gautam Bhalla,Lease Deed,Cam Charges Not Given.,0,0,CRE,Lease expired 2015-01 (CRE Matrix),,true,Grade A+,18.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,Vatika Group,IT Park,Gurgaon Sector 49
Building 3,7,Vacant,0,Vacant,65.7,,,,26000,17940,,,2015-01,12 months,2013-01,,15.0,36,Fitted Out,,,Vatika Limited,Gautam Bhalla,Lease Deed,Cam Charges Not Given.,0,0,CRE,Lease expired 2015-01 (CRE Matrix),,true,Grade A+,18.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,Vatika Group,IT Park,Gurgaon Sector 49
Building 3,8,McKinsey & Company,100.0,Furnished,66.4,65.7,66.4,66.4,26000,17940,,,2027-01,6 months,2024-07,,15.0,36,Fitted Out,Commercial & Professional Services,Renewal,SH Tech Park Developers,Ritu Gupta,Lease Deed,,1726400,20716800,CRE,,,,Grade A+,18.0,15% every 3 years,100% DG + Dual Feed,1.0,70.0,Vatika Group,IT Park,Gurgaon Sector 49
